Match ID,Season ID,Home Team ID,Away Team ID,DatePlayed
8093604,1207,455,220,2016-01-09
7034491,1982,225,172,2018-02-11
7328848,1989,779,559,2017-12-24
7251330,1989,363,581,2017-11-18
8040061,1200,829,147,2015-12-05
1709585,1986,820,600,2018-03-04
5132556,1365,501,463,2017-03-05
2191012,1373,776,592,2016-10-23
2175710,1980,770,766,2017-10-09
9625090,1205,678,159,2015-12-13
9462865,3003,857,799,2019-03-31
6790141,2996,170,678,2018-12-22
1589203,1368,304,225,2016-08-21
8939014,1368,178,572,2016-12-14
2448934,1368,656,386,2017-04-15
7010900,3001,830,122,2018-12-30
4035389,1207,391,847,2016-04-02
7112949,1371,820,524,2017-01-08
4283712,1374,857,197,2016-09-11
4229534,1371,155,428,2017-02-18
4078058,1371,695,773,2016-10-01
3196957,1980,232,770,2017-09-23
6870846,1371,455,773,2017-03-18
4432612,1373,635,346,2016-10-08
5391417,1982,656,274,2017-10-29
1597748,1207,245,773,2016-03-19
2960356,1374,197,613,2017-02-04
4127513,2998,695,600,2018-12-16
9958167,1368,810,519,2016-09-03
1308271,3001,356,581,2018-12-15
9879491,3003,739,198,2018-11-03
1275744,1980,327,766,2017-10-01
1286423,1205,678,669,2016-01-03
4530782,1986,220,524,2017-09-23
6586561,3001,791,142,2019-03-09
3457243,1986,450,543,2018-02-04
7469909,1209,719,739,2015-10-03
7196155,2995,608,212,2019-01-25
7829231,3003,177,109,2019-02-02
7443802,1374,364,104,2016-11-13
4231805,1365,829,327,2017-05-14
6122418,1980,508,294,2018-05-05
3080614,2993,285,872,2018-11-24
4582831,1371,697,707,2017-02-19
3685910,1203,794,412,2015-09-26
8707266,1373,581,122,2016-11-27
5135661,1371,455,820,2017-05-28
6544516,1374,198,109,2017-05-07
9367730,2993,552,327,2019-02-16
1422084,1980,285,221,2018-04-15
5064423,1207,438,543,2015-11-20
7496696,2998,820,543,2019-04-07
4565129,1984,751,330,2017-10-09
5345111,1373,779,356,2017-04-15
7038859,1989,122,830,2017-08-13
6054134,1365,568,463,2017-01-29
1093307,1365,766,829,2016-12-17
6545363,2993,770,887,2018-10-13
6307751,2993,202,887,2019-05-12
1571342,1208,573,315,2015-11-28
5811130,1209,842,857,2016-04-02
6612665,2993,221,552,2019-04-21
2873331,2993,285,130,2018-09-30
2324898,1982,572,178,2018-01-14
7612917,1982,656,257,2018-05-27
6742789,1989,597,487,2017-12-10
4734070,1984,269,170,2018-05-06
8560574,1365,888,463,2016-10-01
6337285,1986,600,773,2017-11-04
2363555,3003,731,385,2019-03-02
3341114,1205,678,663,2016-02-14
8109801,1989,635,315,2018-04-30
1304798,1982,794,810,2017-08-06
4733445,1374,340,198,2016-12-24
3042152,1989,635,142,2017-11-05
4963310,1369,686,392,2016-08-20
2239476,1209,409,364,2015-09-05
5295184,1368,172,225,2016-12-10
8366483,1373,122,597,2016-12-18
3475969,1980,480,463,2018-02-18
3690079,1365,766,130,2017-01-28
9221887,2995,496,572,2019-01-01
4736760,1203,607,879,2015-12-05
5170655,1203,874,572,2015-09-19
2180066,1203,421,189,2015-11-08
1732478,1205,399,299,2015-12-12
6306733,1980,327,872,2018-04-07
5756718,1205,758,678,2015-12-19
5121334,1374,857,385,2016-10-30
1245315,1369,330,758,2017-03-11
9999173,1371,391,820,2016-10-02
5929015,1203,189,304,2016-03-20
1899522,1368,189,879,2016-11-02
3723848,1986,438,391,2017-10-07
1364700,1986,155,428,2017-10-15
2413117,1989,356,559,2018-01-13
5519661,1207,196,245,2015-10-17
7656269,1374,731,385,2017-01-01
1758538,1984,392,663,2017-10-15
3932637,1369,468,392,2016-08-27
8695440,1207,196,543,2016-02-28
9550060,1982,572,794,2018-03-04
3070376,1203,461,178,2016-01-02
5279402,2995,225,212,2018-12-26
2401647,3001,597,122,2018-11-10
2201657,1373,597,779,2017-01-14
4323530,1991,613,739,2017-12-08
8842710,1984,686,159,2017-12-16
1494354,1209,731,613,2015-12-20
5279089,1374,842,104,2016-11-20
6257226,1982,607,172,2018-05-19
5698057,1209,385,719,2016-03-21
9938327,1369,864,269,2017-03-13
5999636,2993,872,770,2019-03-02
5393960,2995,274,172,2019-04-21
3333271,1989,346,592,2018-04-21
9780598,1368,257,874,2017-04-30
3516682,2993,766,508,2019-03-09
7087174,2995,572,257,2018-11-24
7725402,1984,649,864,2017-10-02
8378641,1369,299,159,2016-10-09
8927615,1991,104,177,2017-11-12
1591149,1203,874,304,2016-03-20
8148990,2995,656,257,2019-01-02
4145935,1980,147,888,2017-10-28
1795632,1373,635,592,2016-11-25
