Player ID,Name,Age,Height,Weight,Nationality,Rating,Preferred Foot,Position,Shirt Number,Contract Expires
145327,L. Messi,31,170.18,72.11,Argentina,94,L,RF,10,2021
145330,Cristiano Ronaldo,33,187.96,82.99,Portugal,94,R,ST,7,2022
145335,Neymar Jr,26,175.26,68.03,Brazil,92,R,LW,10,2022
145343,De Gea,27,193.04,76.19,Spain,91,R,GK,1,2020
145348,K. De Bruyne,27,180.34,69.84,Belgium,91,R,RCM,7,2023
145356,E. Hazard,27,172.72,73.92,Belgium,91,R,LF,10,2020
145359,L. Modrić,32,172.72,66.21,Croatia,91,R,RCM,10,2020
145369,L. Suárez,31,182.88,86.17,Uruguay,91,R,RS,9,2021
145374,Sergio Ramos,32,182.88,82.09,Spain,91,R,RCB,15,2020
145376,J. Oblak,25,187.96,87.07,Slovenia,90,R,GK,1,2021
145388,R. Lewandowski,29,182.88,79.82,Poland,90,R,ST,9,2021
145390,T. Kroos,28,182.88,76.19,Germany,90,R,LCM,8,2022
145393,D. Godín,32,187.96,78.00,Uruguay,90,R,CB,10,2019
145397,David Silva,32,172.72,67.12,Spain,90,L,LCM,21,2020
145405,N. Kanté,27,167.64,72.11,France,89,R,LDM,13,2023
145409,P. Dybala,24,177.80,74.83,Argentina,89,L,LF,21,2022
145419,H. Kane,24,187.96,88.89,England,89,R,ST,9,2024
145426,A. Griezmann,27,175.26,73.02,France,89,L,CAM,7,2023
145433,M. ter Stegen,26,187.96,84.81,Germany,89,R,GK,22,2022
145440,T. Courtois,26,198.12,96.15,Belgium,89,L,GK,1,2024
145445,Sergio Busquets,29,187.96,76.19,Spain,89,R,CDM,5,2023
145454,E. Cavani,31,185.42,77.10,Uruguay,89,R,LS,21,2020
145458,M. Neuer,32,193.04,92.06,Germany,89,R,GK,1,2021
145463,S. Agüero,30,172.72,69.84,Argentina,89,R,ST,10,2021
145471,G. Chiellini,33,187.96,84.81,Italy,89,L,LCB,3,2020
145477,K. Mbappé,19,177.80,73.02,France,88,R,RM,10,2022
145484,M. Salah,26,175.26,71.20,Egypt,88,L,RM,10,2023
145492,Casemiro,26,185.42,83.90,Brazil,88,R,CDM,14,2021
145497,J. Rodríguez,26,180.34,78.00,Colombia,88,L,LAM,10,2019
145501,L. Insigne,27,162.56,58.96,Italy,88,R,LW,10,2022
145506,Isco,26,175.26,78.91,Spain,88,R,LW,22,2022
145517,C. Eriksen,26,180.34,76.19,Denmark,88,R,CAM,10,2020
145519,Coutinho,26,172.72,68.03,Brazil,88,R,LW,7,2023
145530,P. Aubameyang,29,187.96,79.82,Gabon,88,R,LM,14,2021
145539,M. Hummels,29,190.50,92.06,Germany,88,R,LCB,5,2021
145551,Marcelo,30,175.26,79.82,Brazil,88,L,LB,12,2022
145556,G. Bale,28,185.42,82.09,Wales,88,L,ST,11,2022
145560,H. Lloris,31,187.96,82.09,France,88,L,GK,1,2022
145570,G. Higuaín,30,185.42,88.89,Argentina,88,R,LS,9,2019
145578,Thiago Silva,33,182.88,82.09,Brazil,88,R,RCB,2,2020
145586,S. Handanovič,33,193.04,92.06,Slovenia,88,R,GK,1,2021
145589,G. Buffon,40,193.04,92.06,Italy,88,R,GK,1,2019
145591,S. Umtiti,24,182.88,74.83,France,87,L,CB,23,2023
145596,M. Icardi,25,180.34,74.83,Argentina,87,R,ST,9,2021
145601,K. Koulibaly,27,187.96,88.89,Senegal,87,R,LCB,26,2021
145612,P. Pogba,25,193.04,83.90,France,87,R,RDM,6,2021
145622,K. Navas,31,185.42,79.82,Costa Rica,87,R,GK,1,2020
145625,R. Lukaku,25,190.50,93.88,Belgium,87,L,ST,9,2022
145630,C. Immobile,28,185.42,84.81,Italy,87,R,ST,17,2023
145634,Jordi Alba,29,170.18,68.03,Spain,87,L,LB,18,2020
145643,D. Mertens,31,170.18,60.77,Belgium,87,R,RF,14,2020
145645,J. Vertonghen,31,187.96,86.17,Belgium,87,L,LCB,5,2019
145649,M. Hamšík,30,182.88,78.91,Slovakia,87,R,LCM,17,2020
145659,I. Rakitić,30,182.88,78.00,Croatia,87,R,RCM,4,2021
145671,Piqué,31,193.04,84.81,Spain,87,R,RCB,3,2022
145677,L. Sané,22,182.88,74.83,Germany,86,L,LW,19,2021
