Team ID,Name,Stadium Name,Stadium Capacity,City
104,1. FC Union Berlin,Stadion An der Alten Försterei,22012,Berlin
109,1. FSV Mainz 05,Opel Arena,34034,Mainz
120,Amiens SC,Stade de la Licorne,12097,Amiens
122,Angers SCO,Stade Raymond Kopa,18752,Angers
130,Arsenal,Emirates Stadium,60260,London
140,AS Monaco,Stade Louis II,18523,Fontvieille
142,AS Saint-Étienne,Stade Geoffroy-Guichard,41965,Saint-Étienne
147,Aston Villa,Villa Park,42682,Birmingham
155,Atalanta,Stadio Atleti Azzurri d'Italia,21300,Bergamo
159,Athletic Club de Bilbao,San Mamés,53289,Bilbao
170,Atlético Madrid,Wanda Metropolitano,68456,Madrid
172,Barnsley,Oakwell,23287,Barnsley
177,Bayer 04 Leverkusen,BayArena,30210,Leverkusen
178,Birmingham City,St Andrew's,29409,Birmingham
189,Blackburn Rovers,Ewood Park,31367,Blackburn
196,Bologna,Stadio Renato Dall'Ara,38279,Bologna
197,Borussia Dortmund,Signal Iduna Park,81365,Dortmund
198,Borussia Mönchengladbach,Borussia-Park,54022,Mönchengladbach
202,Bournemouth,Dean Court,11464,Bournemouth
212,Brentford,Griffin Park,12763,London
220,Brescia,Stadio Mario Rigamonti,16743,Brescia
221,Brighton & Hove Albion,Falmer Stadium,30750,Brighton
225,Bristol City,Ashton Gate Stadium,27000,Bristol
232,Burnley,Turf Moor,21401,Burnley
237,CA Osasuna,El Sadar,18761,Pamplona
245,Cagliari,Sardegna Arena,16233,Cagliari
257,Cardiff City,Cardiff City Stadium,33280,Cardiff
269,CD Leganés,Butarque,12450,Leganés
274,Charlton Athletic,The Valley,27111,London
285,Chelsea,Stamford Bridge,41631,London
294,Crystal Palace,Selhurst Park,26125,London
299,Deportivo Alavés,Mendizorrotza,19840,Vitoria-Gasteiz
304,Derby County,Pride Park Stadium,33597,Derby
315,Dijon FCO,Stade Gaston Gérard,15995,Dijon
321,Eintracht Frankfurt,Commerzbank-Arena,51500,Frankfurt
327,Everton,Goodison Park,39572,Liverpool
329,FC Augsburg,WWK Arena,30660,Augsburg
330,FC Barcelona,Camp Nou,99354,Barcelona
340,FC Bayern München,Allianz Arena,75000,Munich
346,FC Girondins de Bordeaux,Matmut Atlantique,42115,Bordeaux
356,FC Metz,Stade Saint-Symphorien,26700,Metz
363,FC Nantes,Stade de la Beaujoire,37473,Nantes
364,FC Schalke 04,Veltins-Arena,62271,Gelsenkirchen
376,Fiorentina,Stadio Artemio Franchi,43147,Florence
385,Fortuna Düsseldorf,Merkur Spiel-Arena,54600,Düsseldorf
386,Fulham,Craven Cottage,25700,London
